aajmoen	henki | ajatus
aajne kaarre	poikamies, vanhapoika
aajnehke	ainokainen
aakedh	häiritsemättä
aalkoealmetje	alkoperäiskansa
aalkoekuvsje	alkeiskurssi
aalkoeåålmege	alkuperäiskansa
aanjasoene	jalkajänne
aarege	raunio
aarehkeaaltoe	alkuvuodesta synnyttanyt vaadin
aarhskuvle	esikoulu
aarhte	laji
aarkebiejjie	arkipäivä
aarpije	leski
aassjoe	viha
aatedh	aikoa
aavoedidh	iloita
abrodh	sataa
aegkie	höyhen
aejkiemierie	päivämäärä
aelhkies	yksinkertainen
aelhkieslaakan	yksinkertainen
aelpies	halpa
aeredh	estää
aeredsbiejjie	aamupäivä
aerhkie	poronraato
aeriebielie	nahan karvapuoli
aerpie	perintö
aesie	harju
aeskie	aski
aktentaale	yksikkö
alma	mies
ammesgïele	vieraskieli
appelsijnejuvse	appelsiinimehu
artihkele	artikkeli
askedibie	kuutamo
attribudte	attribuutti
baahkenidh	lämmetä
baahkestjaetsie	lämminvesi
baakoedåehkie	sanaluokka
baakoegærja	sanakirja
baakoelåhkoe	sanasto
baakoelæstoe	sanalista
baakoeraajroe	loru
baakoetjïerte	sanaryhmä
baakoeveeljeme	sanavalinta
baalhkalissie	palkkalisä
baanghke	pankki
baarhkoelaaje	parkkivesi
baarhkoevoesse	parkkireppu | XXX
baarhkohke	kenkä
baaroe	aalto
baartesvåhkoe	pertunpäivä
baataridh	paeta
baataræjja	pakolainen
baegkie	päitset
baektie	jylhä kallio
baeniedåaktere	hammaslääkäri
baenielaejkie	hammaslanka
baenievaerhkie	hammassärky
baersieldidh	synnyttää
baetjkies	katkera
baevtieguedteme	vasikointiaika
baevtieskïeredahke	kiima-aika
bahke	mäki
balhka	nappi
baltastæjja	kummitus
barkoedåehkie	työryhmä
barkoefaaleldahke	työtarjous
barkoesijjie	työpaikka
barkoesoejkesje	työsuunnitelma
barkoestradtje	raadanta
barkoevuekie	työtapa
batjka	poronhäntä
batnanidh	hukkua
bealketje	peukalo
bealloeråantjoe	kellohärkä
beallohke	kelloporo
bearadidh	lähteä kantamaan
bearjedsaerede	perjantai-aamu
bearkoesnaejrie	lihapala
beeretje	nalle
beetsehke	mäntymetsä
bejhkedh	kakata
beltedh	pelotella
berkedh	kaivata
bertie	puunraja
biehtedh	pettää
biejjege	päivällä
biejjeste måbpan	päivästä päivään
biejjhguaka	auringonpaiste
biejjiegærja	päiväkirja
biejjielaemtjie	auringonsäde
biekedh	kahlata
bieljehts	kuuro
bieljiegietjie	korvankärki
bielkie	peukalo
bihtseds	katkera
bijjiebaakoe	otsikko
birhkehtidh	sirotella
bissiebiejjie	pyhäpäivä
bodte	hetki | tuokio
boehtele	pullo
boere	lonkero
bovtsealmetje	poronomistaja
brorredh	ryöpsähtää | kohista
buaradahke	pouta
buejtietsöötsege	talitintti
buerie aerede	hyvää aamua
buerie biejjie	hyvää päivää
buerie iehkede	hyvää iltaa
buerie jïjje	hyvää yötä
buerie-buerebe	yhä paremmin
buerkiestimmie	selitys
buhtjedh	lypsätä
buhtjiedidh	kiertää | vääntää
burhtje	purki
burredh	levitellä
bustetje	teelusikka
butnedh	kehrätä
buvvedh	tappaa
buvvie	karjalauma
byjrese	ympäristö
byöredh	pitää
båadtsoeh	alaston
båajhtoeh	väärä
båatsoe	poro
båatsoeburrieskuvle	poronhoitokoulu
båatsoebïenje	porokoira
båatsoedajve	poronhoitoalue
båatsoejieleme	poronhoitoelämä
båatsoelaake	poronhoitolaki
båejme	piekana
båelmie	kengänpaulanpää
båelmiehtidh	palmikoida paulan kapea osa  
båeltedh	polttaa | purra
båervie	rasva
båetskiesoene	nilkkasuoni
bårrestovvedh	nälkiintyä
båskoe	pensas
båssodh	puhaltaa
båårhkesjidh	karvata | parkita
bååvteres	paksutukkainen
bæhkasidh	katketa
bæjjese	ylös | ylöspäin
bæjjesvåårte	vuorta kohti
