ae nagkh	han, hän; siis
assh dohkoe	hus pois (koiralle)
bïjre jarkan	ympäri(llä)
båetije bearjadahken	ensi perjantaina
dah guaktah	he kaksi
dan aereden	sinä aamuna
datne dihte	sinä(pä) se
dej beeli	entisaikaan
dellie maajetjh	vihdoin viimein
dohkh diekie	sinne tänne
don biejjien	toissapäivänä
eejan jovjan	lohduta (ja kanna) minua
gaajhkene lehkesne	kaikkialla, joka puolella
gaajhkesh dovnesh	kaikki (tyynni)
gellien aejkien	monta kertaa
gie joem	joku
gïerth mannem	anteeksi
gudtsien (aelties)	kiitoksia ruuasta
guhkie övtebe	kauan sitten
guktemes laakan	mitenkään
göökten haaran	kahteen osaan, kahteen suuntaan
göökti göökti	kaksitellen
ikth gåessie	toisinaan, jonkin kerran
jaa nov maa	jo toki, kyllä vain
jakseme mieresne	käsillä, lähellä
klååmsehth (vearelde)	epävakainen sää, jolloin savu tulee sisään
lusten gaavhtan	huvin vuoksi
maam joem	yhtä ja toista
madtan laakan	huonosti, juuri ja juuri
man jïjnjh	kuinka monta, kuinka paljon
man åvteste	minkä tähden
manne mån	minäpä
mennie mieresne	paljonko, missä määrin
naan gille	jokunen, muutama
novh amma	toki
novh hævvi	tietenkin, luonnollisesti
novh maa	jo toki, niin kyllä
ov jösses	jestas sentään
saarnoeh jeahtah	sanopa se
tjuetie stoerretjuetie	satatuhatta
vihth masten	vaihteen vuoksi
åejjieh saejriedieh	päätä särkee
daan biejjien	tänään
daan aereden	tänä aamuna
